"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2744","RT @VVPutin_cat: Мне тут доложили, что оперативники ФСБ насильно усадили Януковича смотреть прямую трансляцию из Минска #ДзеньВолі
Тиран ко…",FALSE,0,NA,2017-03-25 23:52:46,FALSE,NA,"845785559796731909",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","V1ruddh",264,TRUE,FALSE,NA,NA
"2745","RT @_kkatyaka: ""Жыве Беларусь, жыве
I будзе, i будзе жыць
У сэрцы маiм, ў галаве
Гучыць гэты лёзунг, гучыць""
#25sakavika https://t.co/MJlWU…",FALSE,0,NA,2017-03-25 23:52:03,FALSE,NA,"845785379756265473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_kkatyaka",8,TRUE,FALSE,NA,NA
"2746","RT @CleanAuthoritie: Беларусь - День Воли!
Диктатура во ""всеоружии""!!!
#ДзеньВолі https://t.co/Bqcowugz9f",FALSE,0,NA,2017-03-25 23:51:46,FALSE,NA,"845785310185357312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nikstrog57",112,TRUE,FALSE,NA,NA
"2747","RT @Anti_charter97: Спасибо Лукашенко от думающего народа за предотвращение Украинского сценария (только коленным железом)...   #ДзеньВолі…",FALSE,0,NA,2017-03-25 23:51:04,FALSE,NA,"845785131986145280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nurkinagi",321,TRUE,FALSE,NA,NA
"2748","RT @belpartisan: Впечатления журналиста ""Дождя""
#ДзеньВолі https://t.co/U3e1Yjpsy3",FALSE,0,NA,2017-03-25 23:50:07,FALSE,NA,"845784896824061953",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","spin_o_rama",292,TRUE,FALSE,NA,NA
"2749","Между нами тает лёд, потому что у правительства долбоеб.  #25сакавіка #Беларусь #ДзеньВолі",FALSE,2,NA,2017-03-25 23:49:13,FALSE,NA,"845784669660557312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sm17ru",1,FALSE,FALSE,NA,NA
"2750","RT @kommunar_: :с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,0,NA,2017-03-25 23:48:52,FALSE,NA,"845784579315322880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sontagtd",13,TRUE,FALSE,NA,NA
"2751","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-25 23:48:18,FALSE,NA,"845784436461518849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Povar444",141,TRUE,FALSE,NA,NA
"2752","RT @belpartisan: Впечатления журналиста ""Дождя""
#ДзеньВолі https://t.co/U3e1Yjpsy3",FALSE,0,NA,2017-03-25 23:47:56,FALSE,NA,"845784346657280000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Katerina_Bibl",292,TRUE,FALSE,NA,NA
"2753",":с #дзеньволі https://t.co/Q0wqP16aJA",FALSE,14,NA,2017-03-25 23:46:13,FALSE,NA,"845783913343729664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kommunar_",13,FALSE,FALSE,NA,NA
"2754","RT @VVPutin_cat: Мне тут доложили, что оперативники ФСБ насильно усадили Януковича смотреть прямую трансляцию из Минска #ДзеньВолі
Тиран ко…",FALSE,0,NA,2017-03-25 23:45:14,FALSE,NA,"845783666479501316",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stalker7694",264,TRUE,FALSE,NA,NA
"2755","Милиция в Минске разогнала участников акции в честь Дня Воли https://t.co/rJH8Lt9nPS #25сакавіка #ДзеньВолі… https://t.co/KPbErFlcnh",FALSE,1,NA,2017-03-25 23:44:59,TRUE,NA,"845783604865175552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CET_groupe",1,FALSE,FALSE,NA,NA
"2756","RT @alexlightart: Желаю каждому мусору, который в Минске с дубинкой, увидеть на против жену, маму или дочь, сына.!! #ДзеньВолі",FALSE,0,NA,2017-03-25 23:44:34,FALSE,NA,"845783498246049792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iriska7300",96,TRUE,FALSE,NA,NA
"2757","RT @Anti_charter97: Мирные протесты в США заканчиваются вот так... #ДзеньВолі https://t.co/OBpy03PTus",FALSE,0,NA,2017-03-25 23:44:25,FALSE,NA,"845783458978971648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Oleg840",141,TRUE,FALSE,NA,NA
"2758","RT @belamova: Водомёты принали, куча военной техники, задержания. Взяли польского журналиста. Минск
#ДзеньВолі https://t.co/2PEGHbAZOz",FALSE,0,NA,2017-03-25 23:44:20,FALSE,NA,"845783438665957376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dimalo32",253,TRUE,FALSE,NA,NA
