"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5982","<U+041A><U+0430><U+0447><U+0435><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+043E><U+0435> <U+0421><U+0422><U+041E> <U+0432> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0435>  #minsk #belarus",FALSE,0,NA,2017-03-25 22:29:36,FALSE,NA,"845764631926853633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IrinaAya1979",0,FALSE,FALSE,NA,NA
"5983","RT @RonanLTynan: #Belarus protesters challenge Europe's last dictator #Lukashenko in #Minsk - introduced tax on unemployed @BBCNews  https:…",FALSE,0,NA,2017-03-25 22:29:33,FALSE,NA,"845764618748350465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UnadPr",6,TRUE,FALSE,NA,NA
"5984","RT @shelomovskiy: A protester is being detained by riot police during the protest in #Minsk, #Belarus https://t.co/JRbMk6UgDp",FALSE,0,NA,2017-03-25 22:29:25,FALSE,NA,"845764584485085185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Feelicia",138,TRUE,FALSE,NA,NA
"5985","RT @stasia_writes: #Belarus police units shamelessly used force against elderly &amp; women at today's afternoon protests. Heart is breaking to…",FALSE,0,NA,2017-03-25 22:29:08,FALSE,NA,"845764516696788993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brooklynmarie",25,TRUE,FALSE,NA,NA
"5986","RT @HannaLiubakova: Please, pay attention to what happened in #Belarus today.Human rights defenders say more than 700 people were detained…",FALSE,0,NA,2017-03-25 22:29:00,FALSE,NA,"845764480835424260",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrredt",641,TRUE,FALSE,NA,NA
"5987","RT @IntelCrab: Breaking: #Lukashenko has ordered the denial of all lawyer request forums (LRF's) for protesters currently jailed in #Minsk.",FALSE,0,NA,2017-03-25 22:28:56,FALSE,NA,"845764463781466112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kveldulf7",3,TRUE,FALSE,NA,NA
"5988","RT @zarembiuk: #Belarus Nearly 300 people have already been detained, jailed or fined for involvement in anti-government protests https://t…",FALSE,0,NA,2017-03-25 22:28:56,FALSE,NA,"845764463143866373",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","coellen_barbara",4,TRUE,FALSE,NA,NA
"5989","RT @RonanLTynan: #Lukashenko in power in #Belarus since 1994 - surely nothing illustrates how out of touch than Marie Antoinette Syndrome t…",FALSE,0,NA,2017-03-25 22:28:50,FALSE,NA,"845764439567667200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ungubunugu1274",7,TRUE,FALSE,NA,NA
"5990","RT @stasia_writes: #Belarus police units shamelessly used force against elderly &amp; women at today's afternoon protests. Heart is breaking to…",FALSE,0,NA,2017-03-25 22:28:33,FALSE,NA,"845764366536462336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Edmund_BT",25,TRUE,FALSE,NA,NA
"5991","RT @Karine_Bonneau_: Solidarity with @viasna96 &amp; human rights defenders in #Belarus facing brutal repression @Ales_Bialiatski @fidh_eu @fid…",FALSE,0,NA,2017-03-25 22:28:32,FALSE,NA,"845764362686095361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeanlouisville",6,TRUE,FALSE,NA,NA
